HUB               ODS 
XHMTOVC   ==>   XHMTOVC
AT@AULJP  ==>   AT2AULJP
AT@TLOG   ==>   AT2TLOG
ATCAHFL1  ==>   ATCAHFL1
XHMTOVC    ==>   XHMTOVC
SS@INEP    ==>   SS2INEP
IEACMSP    ==>   IEACMSP
SS@MCALP   ==>   SS2MCALP
FDRETWK    ==>   FDRETWK
HSSCALP    ==>   HSSCALP 
HSSCMSP    ==>   HSSCMSP
HSSTMJP    ==>   HSSTMJP
ATTNFJL24    ==>   ATTNFJL24
SSLOCFP     ==>   SSLOCFP
SSGHCLL     ==>   SSGHCLL
FCLETWK     ==>   FCLETWK
SS@CZBTP    ==>   SS2CZBTP
EPICMCP     ==>   EPICMCP
SS@SFCWP    ==>   SS2SFCWP
SS@SFCDP    ==>   SS2SFCDP
IE@TNJNP    ==>   IE2TNJNP
EPBLHSP     ==>   EPBLHSP
EW@KYDP     ==>   EWKYDP
SSADDRP     ==>   SSADDRP
SS@CLFP     ==>   SSCLFP
SSINCIP     ==>   SSINCIP
SSINCJP     ==>   SSINCJP
SSNICJP     ==>   SSNICJP
SSPRJJP     ==>   SSPRJJP
SSRUDCP     ==>    SSRUDCP
SSSCCIP     ==>   SSSCCIP
SSTRBBP     ==>   SSTRBBP
SS@SWBTP    ==>   SS2SWBTP
CNPBOCFIP   ==>   CNPBOCFIP
SS@CFCWP    ==>   SS2CFCWP
LS@CSAJP    ==>   LS2CSAJP
LS@CSAP    ==>   LS2CSAP
LS@CSAPB    ==>   LS2CSAPB
LS@CSBP    ==>   LS2CSBP
LS@CSCP    ==>   LS2CSCP
LS@CSDP    ==>   LS2CSDP
LS@CSEP    ==>   LS2CSEP
LS@CSFP    ==>   LS2CSFP
LS@CSGP    ==>   LS2CSGP
LS@CSHP    ==>   LS2CSHP
DD@CDDCPW    ==>   DD2CDDCPW	
DD@WADVPW    ==>   DD2WADVPW
